time,total,signal
1068,2988.1424626732787,
1069,2988.1424626732787,
1070,2988.1424626732787,
1071,2988.1424626732787,
1072,2988.1424626732787,
1073,2988.1424626732787,
1074,2985.1558135351747,
1075,2975.6624230374655,
1076,2993.53891954524,
1077,2989.106546768586,
1078,3009.753096720231,
1079,3027.293391487726,
1080,3028.6311137140506,
1081,3035.692959734752,
1082,3043.140737941546,
1083,3043.140737941546,
1084,3043.140737941546,
1085,3043.140737941546,
1086,3043.140737941546,
1087,3043.140737941546,
1088,3043.140737941546,
1089,3043.140737941546,
1090,3043.140737941546,
1091,3040.0991180135684,
1092,3055.90362065618,
1093,3051.496537847469,
1094,3021.2957962094642,
1095,3033.7681238223063,
1096,3055.906281160352,
1097,3067.469464031662,
1098,3071.692392873338,
1099,3049.340787832339,
1100,3035.1233253402343,
1101,3050.2951498771167,
1102,3057.7471928107693,
1103,3046.1350274942465,
1104,3048.207261397948,
1105,3033.786849219491,
1106,2981.612799912568,
1107,2950.3098270371297,
1108,2953.134559647446,
1109,2959.838328896531,
1110,2957.5729600454843,
1111,2996.237556251564,
1112,2996.237556251564,
1113,2993.242816065406,
1114,3018.383100641287,
1115,3031.591228918451,
1116,3029.765093050638,
1117,3017.1545792617403,
1118,3034.9729330543046,
1119,3022.4268253469727,
1120,3051.333110936442,
1121,3052.104468685587,
1122,3048.629964276008,
1123,3035.4296474371295,
1124,2982.735881286148,
1125,3010.395623435605,
1126,3044.5339632254763,
1127,3043.9914301723397,
1128,3061.511735368771,
1129,3072.4909719019465,
1130,3072.4909719019465,
1131,3072.4909719019465,
1132,3072.4909719019465,
1133,3072.4909719019465,
1134,3072.4909719019465,
1135,3072.4909719019465,
1136,3072.4909719019465,
1137,3072.4909719019465,
1138,3072.4909719019465,
1139,3072.4909719019465,
1140,3072.4909719019465,
1141,3072.4909719019465,
1142,3072.4909719019465,
1143,3069.420016407792,
1144,3073.8919345022996,
1145,3080.021217328723,
1146,3091.702700989281,
1147,3152.6286431102603,
1148,3152.6286431102603,
1149,3152.6286431102603,
1150,3152.6286431102603,
1151,3152.6286431102603,
1152,3152.6286431102603,
1153,3149.477589993709,
1154,3161.0642366895313,
1155,3174.1296445579524,
1156,3168.2914118583512,
1157,3162.5886396326864,
1158,3178.1196677411617,
1159,3188.949885785918,
1160,3174.8847476035867,
1161,3165.79891221575,
1162,3185.1870224509457,
1163,3175.828593914704,
1164,3180.1237403178034,
1165,3186.7381825394905,
1166,3164.2152862538396,
1167,3162.980115529722,
1168,3172.3938668391033,
1169,3155.134184737629,
1170,3117.5949305287018,
1171,3122.4728292495774,
1172,3136.2584495365136,
1173,3114.035458592639,
1174,3128.3191057756294,
1175,3114.278363206156,
1176,3121.724328109059,
1177,3123.101012617961,
1178,3167.1119326304674,
1179,3176.7930755467455,
1180,3152.5810495967417,
1181,3124.9931084085943,
